Name;Description;Geometry;geo_point_2d
"Stalingradlaan - avenue Stalingrad
Voetgangerszone - Fietszone / Piétonnier - Zone cycliste";Stalingradlaan - avenue Stalingrad<br>Voetgangerszone - Fietszone / Piétonnier - Zone cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.341571, 50.8395467], [4.341284, 50.8393977], [4.3412143, 50.8393773]]}";50.8394566664,4.34139479142
Auguste Ortsstraat - rue Auguste Orts;;"{""type"": ""LineString"", ""coordinates"": [[4.348714, 50.84867], [4.349577, 50.848294]]}";50.848482,4.3491455
"Fontainasplein - Place Fontainas
Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste";Fontainasplein - Place Fontainas<br>Voetgangerszone - Fietserzone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.346616, 50.845395], [4.3462864, 50.8451071]]}";50.84525105,4.3464512
"Rollebeekstraat - rue de Rollebeek
Voetgangerszone / Piétonnier";Rollebeekstraat - rue de Rollebeek<br>Voetgangerszone / Piétonnier;"{""type"": ""LineString"", ""coordinates"": [[4.3538341, 50.8414759], [4.3534023, 50.8417605], [4.3531018, 50.841896], [4.3523589, 50.8421534]]}";50.8418563123,4.35311682847
"St-Goedelestraat - rue St-Gudule
Voetgangerszone - Piétonnier";St-Goedelestraat - rue St-Gudule<br>Voetgangerszone - Piétonnier;"{""type"": ""LineString"", ""coordinates"": [[4.3575865, 50.8477135], [4.3585762, 50.8477101]]}";50.8477118,4.35808135
"Rue des Grands Carmes - Lievevrouwbroerstraat
Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste";Rue des Grands Carmes - Lievevrouwbroerstraat<br>Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.349824, 50.844984], [4.348966, 50.845314], [4.348888, 50.845344], [4.3484, 50.845522], [4.348134, 50.845683]]}";50.8453145951,4.34896954937
"Kolenmarkt - Marché Au Charbon 
Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste";Kolenmarkt - Marché Au Charbon <br>Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste;"{""type"": ""LineString"", ""coordinates"": [[4.348971, 50.846396], [4.348993, 50.846401], [4.349273, 50.846454], [4.349548, 50.846498], [4.349687, 50.846476], [4.349902, 50.846394]]}";50.8464514867,4.34944054067
Grasmarkt - Marché aux Herbes;;"{""type"": ""LineString"", ""coordinates"": [[4.354373, 50.84676], [4.354202, 50.846824], [4.354081, 50.846885], [4.353831, 50.847026], [4.353445, 50.8472], [4.352909, 50.847407], [4.352742, 50.847493], [4.352539, 50.847673], [4.352391, 50.847883], [4.352329, 50.847993], [4.352195, 50.848125], [4.351755, 50.848298]]}";50.8474779815,4.35302059847
Muntplein - Place de la Monnaie;;"{""type"": ""LineString"", ""coordinates"": [[4.3530429999999996, 50.849483], [4.353778, 50.850526]]}";50.8500045,4.3534105
Kolenmarkt - Marché au Charbon;;"{""type"": ""LineString"", ""coordinates"": [[4.348894, 50.846383], [4.349089, 50.846428], [4.349545, 50.846506], [4.349591, 50.846504], [4.349894, 50.846396]]}";50.8464514473,4.34939782552
"Karperbrug - rue du Pont de la Carpe
Voetgangerszone - Fietszone / Piétonnier - Zone Cycliste";Karperbrug - rue du Pont de la Carpe;"{""type"": ""LineString"", ""coordinates"": [[4.347652, 50.848271], [4.347628, 50.848364], [4.34778, 50.848665], [4.347831, 50.848826]]}";50.8485478665,4.34772225972
Greepstraat;;"{""type"": ""LineString"", ""coordinates"": [[4.353927, 50.849078], [4.353641, 50.848824], [4.353575, 50.848756], [4.353467, 50.848606], [4.353389, 50.848438], [4.353353, 50.84836], [4.353271, 50.84828], [4.353135, 50.848202], [4.352992, 50.848156], [4.352787, 50.848134], [4.352627, 50.848124], [4.352455, 50.848098], [4.352286, 50.848053]]}";50.8484250394,4.35318470612
Kiekenmarkt - Marché aux Poulets;;"{""type"": ""LineString"", ""coordinates"": [[4.350334, 50.84899], [4.350499, 50.848942], [4.3508890000000005, 50.848721], [4.351755, 50.848298]]}";50.8486501575,4.351046027
